mean_xai_power,mean_random_power,incremental_power,cohens_d,practical_significant,ci_lower_95,ci_upper_95,r2_score,pearson_r,spearman_r,r2_note,cv_mean_xai_power,cv_std_xai_power,cv_folds,method,dataset,top_k,n_instances,n_bootstrap,random_seed,model
0.0019,0.0056,-0.0038,-0.0714,False,-0.0071,0.0107,0.9937,0.998,1.0,R²→1.0 is expected for SHAP by additive construction. Use incremental_power and cohens_d for comparisons.,0.0019,0.0102,5,SHAP,CIC_IIoT_2025,10,200,2000,42,LSTM
0.0056,0.0056,-0.0,-0.0006,False,-0.0026,0.0133,-22.3944,-0.0025,-0.2052,,0.0056,0.0134,5,LIME,CIC_IIoT_2025,10,200,2000,42,LSTM
0.0174,0.0056,0.0118,0.1594,False,0.0048,0.0313,-29936.0658,0.0029,-0.1607,,0.0174,0.0083,5,IntegratedGradients,CIC_IIoT_2025,10,200,2000,42,LSTM
0.0004,0.0056,-0.0052,-0.1026,False,-0.0083,0.0083,-0.0,-0.0456,-0.0558,,0.0004,0.0119,5,Attention,CIC_IIoT_2025,10,200,2000,42,LSTM
0.0014,0.0035,-0.0021,-0.063,False,-0.0042,0.0074,0.9991,0.9996,0.3167,R²→1.0 is expected for SHAP by additive construction. Use incremental_power and cohens_d for comparisons.,0.0014,0.0066,5,SHAP,CIC_IIoT_2025,10,200,2000,42,DT
0.0015,0.0035,-0.002,-0.0618,False,-0.0032,0.0078,-50.0585,-0.199,-0.1486,,0.0015,0.0061,5,Anchors,CIC_IIoT_2025,10,200,2000,42,DT
-0.0025,0.0035,-0.0061,-0.2506,False,-0.0063,-0.0,-27.9777,-0.0326,-0.1036,,-0.0025,0.0031,5,LIME,CIC_IIoT_2025,10,200,2000,42,DT
-0.0002,0.0,-0.0002,-0.2602,False,-0.0006,0.0001,-787964.924,0.485,0.6142,R²→1.0 is expected for SHAP by additive construction. Use incremental_power and cohens_d for comparisons.,-0.0002,0.0004,5,SHAP,CIC_IIoT_2025,10,30,2000,42,XGB
0.0001,0.0,0.0001,0.6254,True,0.0,0.0001,-58421.4277,-0.1046,0.1473,,0.0001,0.0001,5,Anchors,CIC_IIoT_2025,10,30,2000,42,XGB
-0.0002,0.0,-0.0002,-0.3263,False,-0.0004,0.0,-23381.9124,0.1075,0.0692,,-0.0002,0.0002,5,LIME,CIC_IIoT_2025,10,30,2000,42,XGB
