method,model,dataset,random_act_baseline,k5_ep_d,k5_ep_xai,k5_ep_rnd,k5_ep_ci_lo,k5_ep_ci_hi,k5_ea_flip,k5_act_mean,k5_act_above,k10_ep_d,k10_ep_xai,k10_ep_rnd,k10_ep_ci_lo,k10_ep_ci_hi,k10_ea_flip,k10_act_mean,k10_act_above,k15_ep_d,k15_ep_xai,k15_ep_rnd,k15_ep_ci_lo,k15_ep_ci_hi,k15_ea_flip,k15_act_mean,k15_act_above,k20_ep_d,k20_ep_xai,k20_ep_rnd,k20_ep_ci_lo,k20_ep_ci_hi,k20_ea_flip,k20_act_mean,k20_act_above
SHAP,RF,CIC_IIoT_2025,0.2794,0.4702,0.1,0.0,0.06,0.145,0.1,0.2486,NO,4.5248,0.955,0.04,0.865,0.955,0.955,0.2283,NO,5.0951,0.99,0.06,0.895,0.9601,0.99,0.2189,NO,4.0126,1.0,0.11,0.845,0.93,1.0,0.179,NO
LIME,RF,CIC_IIoT_2025,0.2794,1.1989,0.43,0.005,0.36,0.49,0.43,0.2226,NO,3.2479,0.89,0.04,0.795,0.9,0.89,0.1927,NO,4.7077,0.98,0.06,0.88,0.955,0.98,0.2724,NO,3.5675,0.975,0.105,0.82,0.915,0.975,0.2978,YES
Anchors,RF,CIC_IIoT_2025,0.2794,0.0449,0.015,0.01,-0.02,0.025,0.015,0.1492,NO,0.6503,0.2,0.01,0.135,0.2501,0.2,0.1259,NO,1.5112,0.62,0.05,0.495,0.64,0.62,0.1495,NO,2.9924,0.95,0.12,0.77,0.88,0.95,0.1877,NO
SHAP,RF,IDS2025_Balanced,0.5657,0.3621,0.075,0.005,0.035,0.11,0.075,0.6358,YES,0.2973,0.095,0.025,0.035,0.11,0.095,0.5831,YES,0.3403,0.09,0.015,0.04,0.12,0.09,0.5729,YES,0.1446,0.08,0.045,0.01,0.065,0.08,0.5568,NO
LIME,RF,IDS2025_Balanced,0.5657,0.2355,0.05,0.01,0.01,0.07,0.05,0.7536,YES,0.1926,0.04,0.01,0.01,0.055,0.04,0.65,YES,0.0281,0.035,0.03,-0.015,0.03,0.035,0.6073,YES,0.1172,0.04,0.02,0.005,0.04,0.04,0.5767,YES
