dataset,method,model,attack_class,rank,feature,mean_abs_importance,n_samples
CIC_IIoT_2025,SHAP,XGB,dos,7,network_macs_dst_count,0.28712,463
CIC_IIoT_2025,SHAP,XGB,dos,8,network_macs_all,0.284472,463
CIC_IIoT_2025,SHAP,XGB,dos,9,network_tcp_flags_ack_count,0.271186,463
CIC_IIoT_2025,SHAP,XGB,dos,10,network_packets_src_count,0.210421,463
CIC_IIoT_2025,SHAP,XGB,mitm,1,network_packets_src_count,0.715326,76
CIC_IIoT_2025,SHAP,XGB,mitm,2,network_packets_dst_count,0.557804,76
CIC_IIoT_2025,SHAP,XGB,mitm,3,network_protocols_dst,0.535599,76
CIC_IIoT_2025,SHAP,XGB,mitm,4,network_ports_all_count,0.458432,76
CIC_IIoT_2025,SHAP,XGB,mitm,5,network_interval_packets,0.41608,76
CIC_IIoT_2025,SHAP,XGB,mitm,6,network_packet_size_min,0.4148,76
CIC_IIoT_2025,SHAP,XGB,mitm,7,network_window_size_min,0.362105,76
CIC_IIoT_2025,SHAP,XGB,mitm,8,network_packet_size_avg,0.278714,76
CIC_IIoT_2025,SHAP,XGB,mitm,9,network_macs_src,0.223928,76
CIC_IIoT_2025,SHAP,XGB,mitm,10,network_window_size_std_deviation,0.214422,76
CIC_IIoT_2025,SHAP,XGB,recon,1,network_ttl_min,4.168815,13
CIC_IIoT_2025,SHAP,XGB,recon,2,network_tcp_flags_std_deviation,3.538608,13
CIC_IIoT_2025,SHAP,XGB,recon,3,network_packets_dst_count,0.97807,13
CIC_IIoT_2025,SHAP,XGB,recon,4,network_packets_all_count,0.969361,13
CIC_IIoT_2025,SHAP,XGB,recon,5,network_mss_avg,0.607577,13
CIC_IIoT_2025,SHAP,XGB,recon,6,network_ports_src_count,0.298649,13
CIC_IIoT_2025,SHAP,XGB,recon,7,network_payload_length_avg,0.253976,13
CIC_IIoT_2025,SHAP,XGB,recon,8,device_name,0.204227,13
CIC_IIoT_2025,SHAP,XGB,recon,9,network_tcp_flags_syn_count,0.185064,13
CIC_IIoT_2025,SHAP,XGB,recon,10,network_ttl_avg,0.172668,13
CIC_IIoT_2025,SHAP,XGB,web,1,network_tcp_flags_fin_count,4.573025,24
CIC_IIoT_2025,SHAP,XGB,web,2,device_name,3.173888,24
CIC_IIoT_2025,SHAP,XGB,web,3,network_macs_all,1.464078,24
CIC_IIoT_2025,SHAP,XGB,web,4,network_ttl_min,1.093272,24
CIC_IIoT_2025,SHAP,XGB,web,5,network_ttl_std_deviation,0.83837,24
CIC_IIoT_2025,SHAP,XGB,web,6,network_ports_src,0.559072,24
CIC_IIoT_2025,SHAP,XGB,web,7,network_window_size_avg,0.401588,24
CIC_IIoT_2025,SHAP,XGB,web,8,network_tcp_flags_avg,0.398908,24
CIC_IIoT_2025,SHAP,XGB,web,9,network_macs_src,0.389152,24
CIC_IIoT_2025,SHAP,XGB,web,10,network_packets_dst_count,0.305939,24
CIC_IIoT_2025,LIME,RF,ddos,1,network_packet_size_min,0.040811,424
CIC_IIoT_2025,LIME,RF,ddos,2,network_macs_src,0.040562,424
CIC_IIoT_2025,LIME,RF,ddos,3,network_macs_all,0.03819,424
CIC_IIoT_2025,LIME,RF,ddos,4,network_packets_dst_count,0.034402,424
CIC_IIoT_2025,LIME,RF,ddos,5,network_packets_all_count,0.029326,424
CIC_IIoT_2025,LIME,RF,ddos,6,network_macs_dst_count,0.023871,424
CIC_IIoT_2025,LIME,RF,ddos,7,network_macs_src_count,0.023453,424
CIC_IIoT_2025,LIME,RF,ddos,8,network_ttl_min,0.022671,424
CIC_IIoT_2025,LIME,RF,ddos,9,network_ports_all,0.018082,424
CIC_IIoT_2025,LIME,RF,ddos,10,network_interval_packets,0.015781,424
CIC_IIoT_2025,LIME,RF,dos,1,network_packets_dst_count,0.0786,463
CIC_IIoT_2025,LIME,RF,dos,2,network_interval_packets,0.072198,463
CIC_IIoT_2025,LIME,RF,dos,3,network_packets_all_count,0.058896,463
CIC_IIoT_2025,LIME,RF,dos,4,network_packet_size_min,0.052556,463
CIC_IIoT_2025,LIME,RF,dos,5,network_ports_all_count,0.033581,463
CIC_IIoT_2025,LIME,RF,dos,6,network_ports_src_count,0.031962,463
CIC_IIoT_2025,LIME,RF,dos,7,network_ports_src,0.020006,463
CIC_IIoT_2025,LIME,RF,dos,8,network_ttl_min,0.019741,463
CIC_IIoT_2025,LIME,RF,dos,9,network_header_length_min,0.019095,463
CIC_IIoT_2025,LIME,RF,dos,10,network_ports_all,0.018112,463
CIC_IIoT_2025,LIME,RF,mitm,1,network_packet_size_min,0.032779,76
